Z,Element,1s1/2,2s1/2,3s1/2,4s1/2,5s1/2,6s1/2,7s1/2,2p1/2,2p3/2,3p1/2,3p3/2,4p1/2,4p3/2,5p1/2,5p3/2,6p1/2,6p3/2,3d3/2,3d5/2,4d3/2,4d5/2,5d3/2,5d5/2,4f5/2,4f7/2,5f5/2,5f7/2
26,Fe,7113,846.1,92.9,2.1,,,,721.1,708.1,58.1,52,,,,,,,3.9,3.1,,,,,,,,
27,Co,7708.9,925.6,100.7,1.9,,,,793.6,778.6,63.2,57.7,,,,,,,2.7,3.3,,,,,,,,
28,Ni,8332.8,1008.1,111.8,2.2,,,,871.9,854.7,71.2,69.7,,,,,,,3.9,3.3,,,,,,,,
29,Cu,8978.9,1096.1,119.8,1.2,,,,951,931.1,75.3,72.8,,,,,,,1.8,1.5,,,,,,,,
30,Zn,9658.6,1193.6,135.9,1.3,,,,1042.8,1019.7,88.6,85.6,,,,,,,7.9,8,,,,,,,,
31,Ga,,1297.7,158.1,5.6,,,,1142.3,1115.4,106.8,102.9,0.8,,,,,,20.7,15.7,,,,,,,,
32,Ge,,1414.3,180,9,,,,1247.8,1216.7,127.9,120.8,2.3,,,,,,29.2,28.5,,,,,,,,
33,As,,1526.5,203.5,12.5,,,,1358.6,1323.1,146.4,140.5,2.5,2.5,,,,,41.7,40.9,,,,,,,,
34,Se,,1653.9,231.5,16.2,,,,1476.2,1435.8,168.2,161.9,5.6,5.6,,,,,57.4,56.4,,,,,,,,
35,Br,,1782,256.5,27.3,,,,1596,1549.9,189.3,181.5,5.2,4.6,,,,,70.1,69,,,,,,,,
36,Kr,,1921,292.1,27.5,,,,1727.2,1674.9,222.1,214.4,14.7,14,,,,,95,93.8,,,,,,,,
