PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2,,,
40,5.8723E+03,0.0000E+00,4.4403E+03,1.0837E+03,3.4833E+02,0.0000E+00,1.3671E+03,1.4385E+03,1.6347E+03,3.2282E+02,2.8255E+02,3.4138E+02,6.4297E+01,7.2618E+01,8.6317E+01,7.0844E+01,8.5180E+01,1.6780E+01,1.8853E+01,5.7106E-01,6.4492E-01,2.0682E+01,1.5539E+01,1.8356E+01,2.8699E+00,3.1699E+00,3.7071E+00,2.2607E+00,2.4288E+00,1.2966E-01,,,
50,3.2304E+03,0.0000E+00,2.4468E+03,5.9209E+02,1.9150E+02,0.0000E+00,8.5306E+02,7.7006E+02,8.2372E+02,1.9762E+02,1.5689E+02,1.7861E+02,2.8057E+01,3.0913E+01,5.2599E+01,3.9522E+01,4.4831E+01,7.4602E+00,8.1762E+00,2.0588E-01,2.2942E-01,1.2588E+01,8.6766E+00,9.6756E+00,1.2805E+00,1.3797E+00,2.2558E+00,1.2626E+00,1.2802E+00,7.8894E-02,,,
60,1.9748E+03,0.0000E+00,1.4972E+03,3.6049E+02,1.1714E+02,0.0000E+00,5.7202E+02,4.5835E+02,4.6679E+02,1.3102E+02,9.5987E+01,1.0403E+02,1.4165E+01,1.5282E+01,3.4781E+01,2.4277E+01,2.6236E+01,3.8168E+00,4.0960E+00,8.9215E-02,9.8264E-02,8.3182E+00,5.3341E+00,5.6700E+00,6.5683E-01,6.9294E-01,1.4903E+00,7.7634E-01,7.5012E-01,5.2123E-02,,,
80,9.0355E+02,0.0000E+00,6.8562E+02,1.6423E+02,5.3707E+01,0.0000E+00,2.9721E+02,2.0003E+02,1.8837E+02,6.7344E+01,4.3512E+01,4.3589E+01,4.7900E+00,4.9938E+00,1.7827E+01,1.1074E+01,1.1070E+01,1.3136E+00,1.3626E+00,2.3884E-02,2.5804E-02,4.2616E+00,2.4368E+00,2.3913E+00,2.2688E-01,2.3136E-01,7.6317E-01,3.5469E-01,3.1708E-01,2.6691E-02,,,
100,4.9136E+02,0.0000E+00,3.7299E+02,8.9099E+01,2.9273E+01,0.0000E+00,1.7592E+02,1.0450E+02,9.2571E+01,3.9662E+01,2.3320E+01,2.1958E+01,2.0636E+00,2.0947E+00,1.0487E+01,5.9623E+00,5.6040E+00,5.7225E-01,5.7814E-01,8.6286E-03,9.1811E-03,2.5070E+00,1.3192E+00,1.2118E+00,9.9067E-02,9.8382E-02,4.4873E-01,1.9119E-01,1.6072E-01,1.5694E-02,,,
101.52,4.7154E+02,0.0000E+00,3.5795E+02,8.5493E+01,2.8096E+01,0.0000E+00,1.6971E+02,1.0001E+02,8.8227E+01,3.8256E+01,2.2353E+01,2.0959E+01,1.9497E+00,1.9756E+00,1.0114E+01,5.7168E+00,5.3508E+00,5.4105E-01,5.4564E-01,8.0573E-03,8.5649E-03,2.4180E+00,1.2650E+00,1.1571E+00,9.3676E-02,9.2863E-02,4.3277E-01,1.8333E-01,1.5347E-01,1.5137E-02,,,
102.33,2.0719E+03,1.6105E+03,3.5024E+02,8.3644E+01,2.7493E+01,1.6105E+03,1.6651E+02,9.7717E+01,8.6010E+01,3.7531E+01,2.1858E+01,2.0449E+01,1.8920E+00,1.9153E+00,9.9221E+00,5.5909E+00,5.2214E+00,5.2522E-01,5.2918E-01,7.7719E-03,8.2557E-03,2.3721E+00,1.2372E+00,1.1292E+00,9.0942E-02,9.0068E-02,4.2455E-01,1.7930E-01,1.4976E-01,1.4849E-02,,,
150,7.7276E+02,6.1033E+02,1.2334E+02,2.9373E+01,9.7166E+00,6.1033E+02,6.5892E+01,3.2054E+01,2.5390E+01,1.4813E+01,7.4259E+00,6.2425E+00,4.5240E-01,4.3883E-01,3.9134E+00,1.9123E+00,1.6051E+00,1.2740E-01,1.2309E-01,1.4018E-03,1.4339E-03,9.3689E-01,4.2383E-01,3.4766E-01,2.2136E-02,2.1010E-02,1.6738E-01,6.1438E-02,4.6126E-02,5.8553E-03,,,
200,3.6461E+02,2.9008E+02,5.6600E+01,1.3461E+01,4.4699E+00,2.9008E+02,3.2409E+01,1.3961E+01,1.0230E+01,7.2896E+00,3.3014E+00,2.5641E+00,1.5715E-01,1.4851E-01,1.9260E+00,8.5372E-01,6.6209E-01,4.4610E-02,4.2028E-02,3.9949E-04,4.0266E-04,4.6103E-01,1.8940E-01,1.4353E-01,7.7680E-03,7.1850E-03,8.2364E-02,2.7458E-02,1.9048E-02,2.8818E-03,,,
300,1.2807E+02,1.0260E+02,1.9345E+01,4.5928E+00,1.5315E+00,1.0260E+02,1.1951E+01,4.4505E+00,2.9439E+00,2.6930E+00,1.0754E+00,7.5262E-01,3.7250E-02,3.4509E-02,7.1185E-01,2.7934E-01,1.9524E-01,1.0670E-02,9.7998E-03,7.3550E-05,7.3849E-05,1.7038E-01,6.2049E-02,4.2359E-02,1.8606E-03,1.6875E-03,3.0438E-02,8.9958E-03,5.6229E-03,1.0658E-03,,,
