PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,,,,,,,,,,,
500,4.5532E+00,3.9285E+00,4.9881E-01,1.0082E-01,2.5123E-02,3.9285E+00,4.2405E-01,3.6662E-02,3.8094E-02,8.4438E-02,7.9015E-03,8.2959E-03,8.5347E-05,1.0176E-04,1.8567E-02,1.6432E-03,1.7173E-03,1.6319E-05,1.9330E-05,2.7874E-03,1.8578E-04,1.8603E-04,,,,,,,,,,,
600,2.9180E+00,2.5189E+00,3.1862E-01,6.4393E-02,1.6056E-02,2.5189E+00,2.7277E-01,2.2509E-02,2.3338E-02,5.4337E-02,4.8607E-03,5.0882E-03,4.7843E-05,5.8648E-05,1.1949E-02,1.0111E-03,1.0535E-03,9.1402E-06,1.1179E-05,1.7940E-03,1.1430E-04,1.1422E-04,,,,,,,,,,,
800,1.5128E+00,1.3072E+00,1.6423E-01,3.3173E-02,8.2792E-03,1.3072E+00,1.4184E-01,1.0948E-02,1.1438E-02,2.8261E-02,2.3708E-03,2.4937E-03,2.0432E-05,2.6581E-05,6.2151E-03,4.9288E-04,5.1701E-04,3.8841E-06,5.1187E-06,9.3332E-04,5.5731E-05,5.6141E-05,,,,,,,,,,,
1000,9.4510E-01,8.1724E-01,1.0210E-01,2.0613E-02,5.1472E-03,8.1724E-01,8.8665E-02,6.5289E-03,6.9110E-03,1.7663E-02,1.4148E-03,1.5084E-03,1.1027E-05,1.5672E-05,3.8844E-03,2.9448E-04,3.1241E-04,2.1058E-06,2.9409E-06,5.8352E-04,3.3296E-05,3.3997E-05,,,,,,,,,,,
1500,4.3641E-01,3.7785E-01,4.6764E-02,9.4320E-03,2.3571E-03,3.7785E-01,4.0889E-02,2.8191E-03,3.0561E-03,8.1434E-03,6.1137E-04,6.6661E-04,4.1991E-06,6.4346E-06,1.7907E-03,1.2707E-04,1.3836E-04,7.8656E-07,1.2363E-06,2.6938E-04,1.4397E-05,1.5170E-05,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,2,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
