PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,
1000,3.9175E+00,3.2784E+00,4.9496E-01,1.1173E-01,3.2457E-02,3.2784E+00,3.8112E-01,6.6147E-02,4.7689E-02,8.3394E-02,1.5998E-02,1.1863E-02,2.2335E-04,2.5598E-04,2.0561E-02,3.8490E-03,2.8177E-03,5.5660E-05,6.3691E-05,1.0520E-07,1.4095E-07,3.7318E-03,5.9527E-04,4.1761E-04,1.5976E-06,1.7776E-06,3.6138E-04,,,,,,
1500,1.8026E+00,1.5121E+00,2.2507E-01,5.0709E-02,1.4741E-02,1.5121E+00,1.7519E-01,2.9167E-02,2.0712E-02,3.8300E-02,7.0674E-03,5.1491E-03,8.5433E-05,1.0715E-04,9.4414E-03,1.7014E-03,1.2235E-03,2.1392E-05,2.6285E-05,3.8041E-08,5.4469E-08,1.7139E-03,2.6310E-04,1.8157E-04,6.1535E-07,7.4449E-07,1.6756E-04,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,1.6,2.4,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
