PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,,,,
150,6.2438E+02,5.0197E+02,9.3653E+01,2.1942E+01,6.8129E+00,5.0197E+02,5.3437E+01,2.1744E+01,1.8472E+01,1.1863E+01,5.0309E+00,4.4924E+00,2.7830E-01,2.7695E-01,3.0523E+00,1.2588E+00,1.1176E+00,7.4547E-02,7.3816E-02,6.4580E-04,6.7134E-04,6.6285E-01,2.4622E-01,2.1042E-01,9.6711E-03,9.2733E-03,8.4867E-02,6.6703E-03,4.5782E-03,,,,
200,2.9118E+02,2.3543E+02,4.2653E+01,9.9814E+00,3.1128E+00,2.3543E+02,2.5943E+01,9.3305E+00,7.3791E+00,5.7673E+00,2.1993E+00,1.8263E+00,9.5612E-02,9.2885E-02,1.4844E+00,5.5238E-01,4.5608E-01,2.5802E-02,2.4825E-02,1.8175E-04,1.8663E-04,3.2232E-01,1.0814E-01,8.5933E-02,3.3519E-03,3.1386E-03,4.1268E-02,2.9296E-03,1.8704E-03,,,,
300,1.0079E+02,8.1931E+01,1.4428E+01,3.3717E+00,1.0566E+00,8.1931E+01,9.4018E+00,2.9215E+00,2.1046E+00,2.0954E+00,7.0211E-01,5.3021E-01,2.2478E-02,2.1471E-02,5.3975E-01,1.7726E-01,1.3271E-01,6.1124E-03,5.7851E-03,3.3513E-05,3.4432E-05,1.1717E-01,3.4700E-02,2.5069E-02,7.9491E-04,7.3211E-04,1.5003E-02,9.4007E-04,5.4601E-04,,,,
400,4.8757E+01,3.9761E+01,6.8848E+00,1.6070E+00,5.0480E-01,3.9761E+01,4.6561E+00,1.3262E+00,9.0252E-01,1.0393E+00,3.2184E-01,2.2933E-01,8.4606E-03,8.1263E-03,2.6769E-01,8.1433E-02,5.7503E-02,2.3114E-03,2.1967E-03,1.0782E-05,1.1307E-05,5.8134E-02,1.5948E-02,1.0868E-02,3.0059E-04,2.7837E-04,7.4441E-03,4.3212E-04,2.3693E-04,,,,
500,2.8412E+01,2.3226E+01,3.9696E+00,9.2547E-01,2.9115E-01,2.3226E+01,2.7481E+00,7.3776E-01,4.8379E-01,6.1379E-01,1.8005E-01,1.2351E-01,4.1138E-03,4.0147E-03,1.5812E-01,4.5617E-02,3.1000E-02,1.1274E-03,1.0858E-03,4.7126E-06,5.0038E-06,3.4340E-02,8.9370E-03,5.8602E-03,1.4655E-04,1.3790E-04,4.3976E-03,2.4219E-04,1.2791E-04,,,,
600,1.8604E+01,1.5239E+01,2.5764E+00,6.0002E-01,1.8895E-01,1.5239E+01,1.8124E+00,4.6611E-01,2.9793E-01,4.0490E-01,1.1415E-01,7.6276E-02,2.3452E-03,2.3360E-03,1.0432E-01,2.8949E-02,1.9158E-02,6.4332E-04,6.3241E-04,2.4417E-06,2.7163E-06,2.2654E-02,5.6723E-03,3.6219E-03,8.3706E-05,8.0345E-05,2.9016E-03,1.5379E-04,7.9166E-05,,,,
800,9.8780E+00,8.1156E+00,1.3497E+00,3.1376E-01,9.8914E-02,8.1156E+00,9.6851E-01,2.3552E-01,1.4567E-01,2.1636E-01,5.7900E-02,3.7409E-02,1.0308E-03,1.0595E-03,5.5735E-02,1.4704E-02,9.3971E-03,2.8306E-04,2.8992E-04,9.8006E-07,1.1416E-06,1.2104E-02,2.8807E-03,1.7769E-03,3.6828E-05,3.6737E-05,1.5510E-03,7.8212E-05,3.8995E-05,,,,
1000,6.2258E+00,5.1259E+00,8.4262E-01,1.9558E-01,6.1693E-02,5.1259E+00,6.1164E-01,1.4385E-01,8.7135E-02,1.3657E-01,3.5481E-02,2.2346E-02,5.6819E-04,6.1068E-04,3.5180E-02,9.0020E-03,5.6270E-03,1.5689E-04,1.6538E-04,4.8730E-07,6.1644E-07,7.6398E-03,1.7641E-03,1.0646E-03,2.0364E-05,2.1096E-05,9.7968E-04,4.7995E-05,2.3485E-05,,,,
1500,2.8635E+00,2.3643E+00,3.8262E-01,8.8630E-02,2.7970E-02,2.3643E+00,2.8113E-01,6.3977E-02,3.7507E-02,6.2713E-02,1.5813E-02,9.6374E-03,2.2114E-04,2.4573E-04,1.6150E-02,4.0159E-03,2.4231E-03,6.0489E-05,6.7836E-05,1.8083E-07,2.3674E-07,3.5071E-03,7.8670E-04,4.5860E-04,7.8323E-06,8.6673E-06,4.5112E-04,2.1606E-05,1.0332E-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
