PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,,,,,,,,
500,5.7889E+00,4.9688E+00,6.4916E-01,1.3416E-01,3.6757E-02,4.9688E+00,5.4193E-01,5.3763E-02,5.3468E-02,1.1004E-01,1.1862E-02,1.1946E-02,1.4434E-04,1.6620E-04,2.5407E-02,2.6244E-03,2.6401E-03,3.1143E-05,3.6178E-05,4.6969E-03,4.1475E-04,4.0993E-04,2.5189E-07,2.8903E-07,4.9663E-04,,,,,,,,
600,3.7175E+00,3.1929E+00,4.1533E-01,8.5812E-02,2.3529E-02,3.1929E+00,3.4944E-01,3.3110E-02,3.2781E-02,7.0983E-02,7.3206E-03,7.3309E-03,8.0649E-05,9.6500E-05,1.6390E-02,1.6203E-03,1.6212E-03,1.7472E-05,2.1001E-05,3.0302E-03,2.5599E-04,2.5181E-04,1.4107E-07,1.6795E-07,3.2077E-04,,,,,,,,
800,1.9316E+00,1.6608E+00,2.1440E-01,4.4271E-02,1.2149E-02,1.6608E+00,1.8216E-01,1.6170E-02,1.6065E-02,3.7011E-02,3.5819E-03,3.5992E-03,3.4337E-05,4.4579E-05,8.5465E-03,7.9326E-04,7.9549E-04,7.4585E-06,9.5632E-06,1.5802E-03,1.2534E-04,1.2365E-04,6.0321E-08,7.7107E-08,1.6782E-04,,,,,,,,
1000,1.2076E+00,1.0392E+00,1.3332E-01,2.7515E-02,7.5548E-03,1.0392E+00,1.1396E-01,9.6678E-03,9.6970E-03,2.3152E-02,2.1449E-03,2.1739E-03,1.9034E-05,2.5233E-05,5.3457E-03,4.7518E-04,4.8050E-04,4.0689E-06,5.5148E-06,9.8848E-04,7.5056E-05,7.4719E-05,3.2802E-08,4.4793E-08,1.0545E-04,,,,,,,,
1500,5.5717E-01,4.8017E-01,6.0976E-02,1.2570E-02,3.4547E-03,4.8017E-01,5.2514E-02,4.1897E-03,4.2720E-03,1.0664E-02,9.2886E-04,9.5950E-04,7.1141E-06,1.0864E-05,2.4622E-03,2.0579E-04,2.1222E-04,1.5324E-06,2.2886E-06,4.5551E-04,3.2505E-05,3.3073E-05,1.2418E-08,1.9142E-08,4.9521E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,2,2,4,0.4,0.6,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
