PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,6d3/2,6d5/2,7s1/2,
1500,4.3690E+00,3.5397E+00,6.2862E-01,1.4890E-01,5.1746E-02,3.5397E+00,4.3228E-01,1.3296E-01,6.3382E-02,9.7899E-02,3.3261E-02,1.6695E-02,5.1181E-04,5.2930E-04,2.6244E-02,8.8439E-03,4.4409E-03,1.5303E-04,1.5740E-04,6.3321E-07,7.8360E-07,6.5973E-03,2.0891E-03,1.0351E-03,3.0279E-05,3.0809E-05,1.3860E-03,3.8167E-04,1.7889E-04,5.7138E-07,5.6686E-07,1.7487E-04,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,2,2,4,0.8,1.2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
