PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,6s1/2,,,,,,,,
100,8.3800E+02,6.9873E+02,1.0895E+02,2.3853E+01,6.4682E+00,6.9873E+02,6.8625E+01,1.8971E+01,2.1355E+01,1.4428E+01,4.1576E+00,4.8118E+00,2.1572E-01,2.4080E-01,3.4417E+00,9.4904E-01,1.0900E+00,4.9096E-02,5.4196E-02,1.3601E-04,1.4983E-04,5.6962E-01,1.2829E-01,1.4068E-01,4.5360E-02,,,,,,,,
150,2.7424E+02,2.3013E+02,3.4497E+01,7.5453E+00,2.0624E+00,2.3013E+02,2.3700E+01,5.2895E+00,5.5074E+00,4.9980E+00,1.1870E+00,1.2693E+00,4.3773E-02,4.7183E-02,1.1935E+00,2.7246E-01,2.8833E-01,1.0050E-02,1.0709E-02,2.0384E-05,2.1992E-05,1.9746E-01,3.6831E-02,3.7318E-02,1.5725E-02,,,,,,,,
200,1.2373E+02,1.0410E+02,1.5350E+01,3.3564E+00,9.2121E-01,1.0410E+02,1.1046E+01,2.1676E+00,2.1366E+00,2.3355E+00,4.9258E-01,4.9836E-01,1.4542E-02,1.5399E-02,5.5776E-01,1.1338E-01,1.1349E-01,3.3539E-03,3.5106E-03,5.5740E-06,5.9676E-06,9.2327E-02,1.5332E-02,1.4695E-02,7.3538E-03,,,,,,,,
300,4.1025E+01,3.4598E+01,5.0256E+00,1.0986E+00,3.0293E-01,3.4598E+01,3.7957E+00,6.4078E-01,5.8919E-01,8.0529E-01,1.4751E-01,1.3911E-01,3.2693E-03,3.4441E-03,1.9245E-01,3.4054E-02,3.1757E-02,7.5793E-04,7.8805E-04,9.7873E-07,1.0579E-06,3.1861E-02,4.6069E-03,4.1147E-03,2.5387E-03,,,,,,,,
400,1.9306E+01,1.6303E+01,2.3476E+00,5.1303E-01,1.4180E-01,1.6303E+01,1.8180E+00,2.8099E-01,2.4860E-01,3.8640E-01,6.5099E-02,5.9043E-02,1.1995E-03,1.2855E-03,9.2376E-02,1.5053E-02,1.3493E-02,2.7878E-04,2.9458E-04,3.0685E-07,3.4299E-07,1.5294E-02,2.0367E-03,1.7489E-03,1.2194E-03,,,,,,,,
500,1.1040E+01,9.3333E+00,1.3347E+00,2.9154E-01,8.0692E-02,9.3333E+00,1.0495E+00,1.5285E-01,1.3235E-01,2.2326E-01,3.5534E-02,3.1540E-02,5.7783E-04,6.2866E-04,5.3383E-02,8.2255E-03,7.2120E-03,1.3405E-04,1.4556E-04,1.3365E-07,1.5423E-07,8.8387E-03,1.1131E-03,9.3485E-04,7.0528E-04,,,,,,,,
600,7.1359E+00,6.0385E+00,8.5815E-01,1.8737E-01,5.1904E-02,6.0385E+00,6.8184E-01,9.5002E-02,8.1306E-02,1.4513E-01,2.2168E-02,1.9379E-02,3.2652E-04,3.6382E-04,3.4700E-02,5.1287E-03,4.4406E-03,7.5773E-05,8.4516E-05,6.9221E-08,8.3584E-08,5.7456E-03,6.9390E-04,5.7568E-04,4.5894E-04,,,,,,,,
800,3.7334E+00,3.1644E+00,4.4503E-01,9.7041E-02,2.6918E-02,3.1644E+00,3.5829E-01,4.6929E-02,3.9805E-02,7.6251E-02,1.0986E-02,9.4971E-03,1.3954E-04,1.6638E-04,1.8238E-02,2.5421E-03,2.1779E-03,3.2486E-05,3.8460E-05,2.6195E-08,3.4603E-08,3.0200E-03,3.4394E-04,2.8259E-04,2.4196E-04,,,,,,,,
1000,2.3399E+00,1.9857E+00,2.7704E-01,6.0356E-02,1.6754E-02,1.9857E+00,2.2478E-01,2.8296E-02,2.3968E-02,4.7827E-02,6.6323E-03,5.7238E-03,7.6619E-05,9.6698E-05,1.1440E-02,1.5357E-03,1.3131E-03,1.7919E-05,2.2205E-05,1.3411E-08,1.8960E-08,1.8943E-03,2.0777E-04,1.7039E-04,1.5240E-04,,,,,,,,
1500,1.0777E+00,9.1631E-01,1.2625E-01,2.7465E-02,7.6287E-03,9.1631E-01,1.0341E-01,1.2349E-02,1.0492E-02,2.1990E-02,2.9034E-03,2.5035E-03,2.9186E-05,3.9509E-05,5.2584E-03,6.7171E-04,5.7469E-04,6.7766E-06,9.1724E-06,4.5548E-09,7.4401E-09,8.7101E-04,9.0891E-05,7.4711E-05,7.1311E-05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,4.29,5.71,2,2,4,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
